tf_id,NC,LNK,SLC,MSC,IIC,lsm_l_frac_cv,lsm_l_msidi,lsm_l_pr,lsm_l_shape_cv,lsm_l_shdi
85,8,149,614133.1948010036,83181.3522162,0.05824934099760303,6.679039007558313,1.0051045400913527,6,43.64609902069655,1.1492512205724403
86,1,315,1868175.0124556264,1868175.0124556264,0.3417008544413852,6.183268766120414,0.5126398248835874,5,40.750927429790174,0.7438687916926824
87,1,295,1983883.9987906886,1983883.9987906886,0.3738678161214692,6.8876818314242705,0.38742990642036484,6,60.8412821194894,0.6694974354838494
88,2,188,2053048.1693011317,1026952.73362436,0.4041312622869154,6.1554735391273505,0.2054450837245613,6,50.42218630525776,0.4097962032608012
89,1,91,2219023.076422482,2219023.076422482,0.5029433464428171,5.7840033481747035,1.0718091411418715,6,43.97834058210034,1.2220937972103791
91,5,196,585036.5090488243,138654.30511654651,0.034877142129539226,6.33888586515964,0.628751313467867,5,54.84152005118244,0.8060832212575202
92,1,363,1995400.2272454628,1995400.2272454628,0.3532298105655138,6.063351956524552,0.3462234625756716,6,69.51197643236871,0.579680928649122
93,4,448,1194158.3407979447,299732.8701596964,0.11404364920971799,5.936354650650898,0.5949938653422712,4,31.6702173955516,0.6726165787529497
94,1,86,2045342.3873264256,2045342.3873264256,0.4161716290933954,6.708781522791081,0.4438561237781358,5,44.568698442097364,0.7209052731495842
95,2,697,1453495.7138658166,727046.8870984864,0.18317657247557229,6.5334113852993,0.3121271280863037,5,69.96181131984136,0.5545803391100772
96,8,37,498911.9588997123,68820.26269490454,0.04313286388796332,6.5960880467920875,0.897848790052466,9,48.44339955857109,1.0597030357646855
97,7,128,903053.1586683836,156140.7134389838,0.09102680737559539,6.312345323774499,0.7276619370349393,5,34.840206011802714,0.9394854880376649
98,3,620,1388324.6872452481,465927.7153542585,0.16168664252947068,6.729871462209637,1.080390197198209,7,45.40337721656673,1.2782716146935702
99,6,239,609199.2111443557,109105.32350874587,0.036552538149439144,6.360111287754625,0.3757929841875306,6,61.433285449446736,0.6313903097239868
100,3,566,1121183.19511817,373860.6356959658,0.05916286215407947,6.373929912816058,0.6142485946450826,6,55.219948415377296,0.8692226544085913
132,1,62,1340145.2477685707,1340145.2477685707,0.24786268779366571,6.304200343710667,1.0172607401926672,6,39.20918025799635,1.2427639322395247
133,1,409,1441876.0659240417,1441876.0659240417,0.17725335629827152,6.138985904146734,0.9226290533011772,6,34.91485895632626,1.216644716479642
134,1,535,1313937.6492295482,1313937.6492295482,0.0930961612501941,6.426856430860766,1.2283466375518899,6,39.89411422963108,1.3799066304287952
135,1,40,2389765.7680272036,2389765.7680272036,0.5829935040454746,6.3949417827573685,0.19952778916529407,4,50.29965648937577,0.38985999363987694
136,1,352,1353042.6823579106,1353042.6823579106,0.13978752286476237,6.092337543432025,0.0854160549777948,4,65.46685797190196,0.1975118159501884
137,2,508,1676537.1098085754,843521.5271361944,0.21893542686909892,5.8949945805153385,0.2349843508637596,3,43.24926128448555,0.4315178736878952
