tf_id,NDVI_median,NDVI_sd,GBNDVI_median,GBNDVI_sd,EVI2_median,EVI2_sd,GLI_median,GLI_sd,MNDVI_median,MNDVI_sd,NDBI_median,NDBI_sd
191,0.6660905311060956,0.16639675500378437,0.4523377666923964,0.16826260452501884,0.4319953675233535,0.16286548559857048,0.1846946946791383,0.10505078296888302,0.392612817656379,0.1721025366456038,-0.18686220324099584,0.13319076296499122
192,0.8180193577335078,0.061109650846947375,0.6114382148536964,0.07012424220837511,0.6250068390487957,0.08514924484633664,0.2848324284584265,0.053244794014724026,0.5749819925796682,0.08371334187918486,-0.32293628483771697,0.07408740168651899
194,0.4793112150602318,0.18787282225410545,0.23360504193687784,0.19691381080941,0.25550583835562435,0.14164144065723658,0.09514398913166953,0.08524511282724355,0.2259997712104864,0.17817807119684206,-0.08368486675755829,0.14745363827707872
195,0.5024493807851447,0.23262787110824448,0.2620361660275707,0.2530632001746452,0.3013608233688915,0.18591854583256723,0.11404901409814713,0.10023033445947332,0.2609550301238112,0.2128841834890321,-0.11008449640774783,0.16494984589247358
196,0.6251684012222168,0.220407640445331,0.3961755456874027,0.23567893445038157,0.37568809975105544,0.185269754724089,0.178252412207774,0.12302305521902326,0.36994965422804277,0.20280218451656762,-0.18671553898313095,0.15400936228930828
197,0.6937667162250712,0.18629037192434914,0.4732643528541729,0.2169628680396466,0.5037099147967269,0.17132100308386625,0.211384435626629,0.09038219246385353,0.5108442058451351,0.1532617171460392,-0.2900563944426428,0.12497172644581622
198,0.593047542947786,0.17934454949882414,0.3672410603223216,0.19085061245123594,0.381113029229778,0.1883175909053613,0.14601218405568295,0.11133948139024952,0.3314055445222449,0.1879302826044478,-0.153952750337696,0.148630420811087
199,0.803391873791033,0.06902485522465578,0.5859865513220264,0.08363878029539289,0.5734499039641012,0.09153770403504877,0.2562273800880114,0.07267203110714084,0.622321396459681,0.07685408510781912,-0.3695000526826025,0.07960682358884924
202,0.5952888256183021,0.27808498855807506,0.3814939947760103,0.31306032283831736,0.3502000342335478,0.20886706502966057,0.15420677347610312,0.11353936766609153,0.3765068710219335,0.2294039400823779,-0.17723133549374273,0.16707344522538803
203,0.412063011131277,0.2048139922718747,0.17688086077534237,0.23921182999230078,0.20347944287266395,0.13754566499704235,0.07345785054279116,0.06003277181627363,0.21624013975073103,0.17354602140926623,-0.07237918697005535,0.14450963969240568
204,0.13994266619375964,0.13635976247179235,-0.10305956854252132,0.14761646930713337,0.07091512202664044,0.06935157019839747,0.018312473445877612,0.020515670872232664,0.053268596377379684,0.08062942024346942,0.009120965223718728,0.06919771504293416
205,0.6585463037423287,0.23431643848037137,0.41697778098267135,0.267187252127137,0.4295278753062788,0.20108825797324625,0.21430981592388626,0.12659912076095647,0.4302253220751197,0.24728085000672198,-0.2221764188942985,0.19160526404681805
206,0.5083484297164224,0.2174559961130076,0.28608937256267436,0.2247717579138823,0.3008205031997831,0.18244494667859917,0.10591794358836626,0.10316708276154374,0.24345472824337183,0.20991843218415315,-0.09346219421435412,0.1545531868015086
207,0.4470416015025109,0.2443498722175199,0.19675628089063343,0.2706176253341593,0.27954857271518063,0.1780244539477058,0.08580131896001626,0.07421245910651769,0.20668182430411255,0.23830790388077405,-0.07683148917868682,0.17231409361746472
208,0.738118953512122,0.14735630077717474,0.5355903618970574,0.15860896985636452,0.551357366137808,0.16069530505775023,0.24203535518795477,0.10200452845342083,0.4878410778117033,0.16782354481089093,-0.24231769850416038,0.15807170422135522
209,0.47174989743597756,0.22054243439813354,0.23518216540342401,0.23468892138993203,0.2700312125897988,0.18618772083247026,0.09514357524229232,0.09997517751145509,0.24018610843569455,0.19908422443049553,-0.08882547587755807,0.15273531999814968
210,0.5749016225743449,0.21588079492468407,0.3377929630113956,0.23541375799725717,0.36183009348720563,0.18891734589711048,0.15304509568028346,0.10804502350486898,0.3269206923942671,0.1922301342736591,-0.15554333414932048,0.14136450656658356
