tf_id,garden,arable,bare_earth,other,grassland,trees,scrub
85,0.07070352646052949,0.496266684983572,0.08280885415227221,0.10256496792016422,0.0064925129623575936,0.05158517164681352,7.456195135670058e-4
86,0,0,0,0.6266071731167343,0,0,0
87,0.219627637587419,0.008599233719795795,0.32177179181677035,0.05627944302519662,0.014455788774335785,0.1276276659054134,5.35782275725926e-4
88,0.2332339741215862,0,0.08585181538294907,0.04328273199318284,0.0010151808285907185,0.047064715095199314,4.264001876867714e-5
89,0.10355938399685212,0,0.25396941400978273,0.046476279610809114,0.05603293993176587,0.1971788546356287,0.002649366714070623
91,0.5593821430494701,0,0.6285096659925787,0.08761815896052189,0,0.22011551146554065,0.001612605860382742
92,0.3092234112048155,0,0.12540231004025573,0.03478920842491196,0.003177503468550533,0.03405700040414592,0.005899702135450562
93,0.053290458776639696,0,0.03465519585746453,0.058127167888316136,0,4.7146228454439344e-4,3.7941819283611995e-6
94,0.0543757547498468,0.01963812446195413,0.21221313060428182,0.1650269470680142,0.002187674307344573,0.0030215590182713628,0.02332206470332378
95,0.2655399175407164,0,0.16784119319617388,0.09769795491008386,0,0.03144654172964211,1.1494354396147936e-4
96,0.12359204719449197,0.12417928323117833,0.1256933585025786,0.05182981107524766,0.04218365868096406,0.07745961058384544,0.0037410233880324365
97,0.11453971142388723,0,0.030438523350389556,0.020341066561134616,0,0.0014355933906007952,0.0016308002130889074
98,0.39011976836928586,0.336376162578525,0.21968742023209967,0.05577055624261006,0.037168570971794934,0.23937861656394702,0.0034732213061818354
99,0.2335830997042911,0.14334503270547982,0.12323866277693217,0.04324859729108969,0,0.03789522045364759,3.601890948337512e-4
100,0.16207741263646566,0.18382986665879705,0.13042592098736575,0.046542830686021434,0,0.05505374880349876,0.005435439513100687
164,0.3874305800709027,0.33529179902981754,0.222239022739181,0.05534447439839472,0.03715751841420156,0.24168247042336174,0.0034732213061818354
292,0.2244373473916704,0.04610393147004925,0.1260586659569459,0.048400639652935694,2.601629451491545e-4,0.017507408668012175,0.0013224850031205676
290,0.23960517660650085,0,0.22864064293919056,0.10423912962182216,0.0012669269179928768,0.07127190008721848,1.7851938882299122e-4
132,0.1256696825778243,0,0.18633556897671213,0.3964114586588519,0.005625008219639693,0.04965328197108302,0.040121175300983816
133,0.11724257210158308,0,0.19019555412690195,0.39569995629641713,0.005625008219639693,0.0471371177604768,0.040121175300983816
134,0.03349196021869952,0,0.08621836708202954,0.10874487323204676,0,0.019965472778187842,0.0020650624786721482
135,0.488022301468254,0,0.12512028644280476,0.08480738001418389,0,0.08188431777178762,8.555238226501665e-4
136,0.7171234081902775,0,0.3899158261226206,0.19850609885573092,0,0.09021704779714386,0.015486320778359448
137,0.2677684149114408,0.05788212497687189,0.18846097135207937,0.026882175263518843,0.015528304566203101,0.05948988988138983,0.0011503515132632286
138,0.11162454079881425,0,0.15002049979516996,0.13773165264781498,0,0.0510558290885158,0.004290193914848028
139,0.09754811310137343,0,0.0776864426820386,0.23041464856802277,0.004535585742355008,0.014244444947780804,0.0012802402280339632
