conn_met,value,tf_id
NC,3,182
LNK,154,182
SLC,641396.862890197,182
MSC,214330.52963861157,182
IIC,0.09997838228919585,182
NC,1,183
LNK,526,183
SLC,1274900.3056627568,183
MSC,1274900.3056627568,183
IIC,0.14116531908901808,183
NC,2,184
LNK,89,184
SLC,1496825.1659834748,184
MSC,748462.407890389,184
IIC,0.2681421410276586,184
NC,3,185
LNK,204,185
SLC,1291596.5271284916,185
MSC,430593.65949357365,185
IIC,0.21082169973161508,185
NC,3,186
LNK,152,186
SLC,969251.7543868867,186
MSC,339120.8529958394,186
IIC,0.13340086865905923,186
NC,6,187
LNK,42,187
SLC,267353.59982584097,187
MSC,48543.593086243614,187
IIC,0.011386606354320922,187
NC,4,188
LNK,174,188
SLC,997700.6826128495,188
MSC,249624.43093106718,188
IIC,0.19502445565814605,188
NC,5,189
LNK,280,189
SLC,724660.6394563712,189
MSC,150296.20620399094,189
IIC,0.09499526408531793,189
NC,3,190
LNK,976,190
SLC,797453.5022094414,190
MSC,266116.80242354417,190
IIC,0.02341792775668119,190
NC,7,191
LNK,625,191
SLC,691964.2890492599,191
MSC,100574.41000905729,191
IIC,0.026725865260174505,191
NC,4,192
LNK,759,192
SLC,583780.6884375389,192
MSC,156578.4282282544,192
IIC,0.013621591315780106,192
NC,4,194
LNK,108,194
SLC,1662427.1293394116,194
MSC,435871.1565204529,194
IIC,0.27932830539090386,194
NC,1,195
LNK,98,195
SLC,2475030.767574955,195
MSC,2475030.767574955,195
IIC,0.6252755209135723,195
NC,6,196
LNK,87,196
SLC,104643.28310724441,196
MSC,18071.049460480168,196
IIC,0.0032315969320755567,196
NC,4,197
LNK,31,197
SLC,1287784.875564137,197
MSC,325827.43177725177,197
IIC,0.20981999970704573,197
NC,4,198
LNK,178,198
SLC,1415327.2744546377,198
MSC,356840.919965387,198
IIC,0.2027183218190158,198
NC,1,199
LNK,180,199
SLC,2229664.3382585463,199
MSC,2229664.3382585463,199
IIC,0.5113452578877704,199
NC,3,202
LNK,35,202
SLC,427178.4641636029,202
MSC,146611.5222904695,202
IIC,0.101442844287629,202
NC,3,203
LNK,34,203
SLC,1155743.1716485685,203
MSC,385480.27899870434,203
IIC,0.3007849951133725,203
NC,3,204
LNK,521,204
SLC,394943.73006976675,204
MSC,134338.91180169405,204
IIC,0.008831989073121238,204
NC,3,205
LNK,68,205
SLC,2067287.874294045,205
MSC,691779.1419768725,205
IIC,0.4509435167038613,205
NC,1,206
LNK,184,206
SLC,1829318.3092155983,206
MSC,1829318.3092155983,206
IIC,0.35831952965760233,206
NC,14,207
LNK,236,207
SLC,54246.41696472713,207
MSC,5214.153624367487,207
IIC,3.7774119319162287e-4,207
NC,1,208
LNK,71,208
SLC,1986669.620859154,208
MSC,1986669.620859154,208
IIC,0.4268325651024668,208
NC,9,209
LNK,42,209
SLC,48242.194587811246,209
MSC,5549.324574733404,209
IIC,4.0121724621150566e-4,209
NC,1,210
LNK,217,210
SLC,2172654.9317570315,210
MSC,2172654.9317570315,210
IIC,0.463735409704957,210
NC,2,211
LNK,108,211
SLC,1980896.6693188327,211
MSC,990498.1680725518,211
IIC,0.3953148985003875,211
NC,3,212
LNK,123,212
SLC,1410265.0173675735,212
MSC,524987.1525089919,212
IIC,0.18068076811142364,212
NC,1,214
LNK,299,214
SLC,2200334.2347166287,214
MSC,2200334.2347166287,214
IIC,0.48523446065189174,214
NC,1,215
LNK,109,215
SLC,2074108.0737473492,215
MSC,2074108.0737473492,215
IIC,0.4212277356431048,215
NC,2,216
LNK,395,216
SLC,1516803.9383969235,216
MSC,759298.9644787183,216
IIC,0.1994007074664865,216
NC,1,217
LNK,64,217
SLC,2047408.778727758,217
MSC,2047408.778727758,217
IIC,0.5270503731277276,217
NC,8,218
LNK,65,218
SLC,1162625.221321939,218
MSC,150390.03777244384,218
IIC,0.16666247654501493,218
NC,4,219
LNK,128,219
SLC,594074.1687104163,219
MSC,157141.58140834142,219
IIC,0.051899557726782,219
NC,1,220
LNK,163,220
SLC,2409061.7480868427,220
MSC,2409061.7480868427,220
IIC,0.6109029698849239,220
NC,12,221
LNK,175,221
SLC,238858.4152005153,221
MSC,20454.59996770641,221
IIC,0.004040162412272776,221
NC,8,222
LNK,108,222
SLC,734904.3531037939,222
MSC,93008.94066969129,222
IIC,0.09858719507993416,222
NC,4,224
LNK,209,224
SLC,1622809.7093539631,224
MSC,408531.72606939246,224
IIC,0.2772756538633443,224
NC,3,225
LNK,121,225
SLC,1606068.7046442651,225
MSC,542553.5166590584,225
IIC,0.2981792442469273,225
NC,1,226
LNK,91,226
SLC,1484507.374806921,226
MSC,1484507.374806921,226
IIC,0.5269910580076475,226
NC,4,227
LNK,52,227
SLC,754017.0154675029,227
MSC,197882.61073883963,227
IIC,0.10297186227942776,227
NC,2,228
LNK,299,228
SLC,1366166.4808936063,228
MSC,684030.1745829275,228
IIC,0.20174152742695745,228
NC,3,229
LNK,75,229
SLC,1853047.884254255,229
MSC,627797.3339560222,229
IIC,0.34993045727444677,229
NC,5,230
LNK,987,230
SLC,636364.1354711608,230
MSC,129940.03922473805,230
IIC,0.015114973063684749,230
NC,5,232
LNK,544,232
SLC,848032.0158902752,232
MSC,170866.69929519546,232
IIC,0.04587545556819391,232
NC,8,233
LNK,321,233
SLC,734779.3426601787,233
MSC,95138.42501912771,233
IIC,0.05306265877054954,233
NC,1,234
LNK,231,234
SLC,2364495.1071629357,234
MSC,2364495.1071629357,234
IIC,0.5794198029860295,234
NC,1,235
LNK,135,235
SLC,2549794.2165319137,235
MSC,2549794.2165319137,235
IIC,0.6628785558066984,235
NC,1,236
LNK,746,236
SLC,1776263.1735526426,236
MSC,1776263.1735526426,236
IIC,0.27987214017605105,236
NC,1,237
LNK,266,237
SLC,2624025.491236831,237
MSC,2624025.491236831,237
IIC,0.6139965382130924,237
NC,5,238
LNK,966,238
SLC,621523.997663107,238
MSC,126957.03282544282,238
IIC,0.01471423524848376,238
NC,6,239
LNK,304,239
SLC,1100974.0846194536,239
MSC,184487.99007956733,239
IIC,0.15326149671262415,239
NC,5,242
LNK,137,242
SLC,1373408.1709037223,242
MSC,279040.9218083063,242
IIC,0.24577047231165183,242
NC,7,243
LNK,763,243
SLC,905906.3560841888,243
MSC,129664.30599564398,243
IIC,0.046384431692941375,243
NC,2,244
LNK,66,244
SLC,2238288.3136911923,244
MSC,1125197.3049260369,244
IIC,0.5764905619963354,244
NC,1,245
LNK,165,245
SLC,2464442.8951967373,245
MSC,2464442.8951967373,245
IIC,0.5833816048447162,245
NC,5,246
LNK,150,246
SLC,1548054.2031689235,246
MSC,310964.69974191475,246
IIC,0.26563696571394774,246
NC,1,247
LNK,164,247
SLC,1373851.7693678632,247
MSC,1373851.7693678632,247
IIC,0.2988103693263337,247
NC,1,248
LNK,88,248
SLC,2325613.73894381,248
MSC,2325613.73894381,248
IIC,0.6053665057481545,248
NC,3,249
LNK,151,249
SLC,1590327.3143134075,249
MSC,531177.6103991809,249
IIC,0.306581664879523,249
NC,3,250
LNK,151,250
SLC,1590327.3143134075,250
MSC,531177.6103991809,250
IIC,0.306581664879523,250
NC,2,252
LNK,191,252
SLC,1640444.6486618523,252
MSC,823408.8208350835,252
IIC,0.3084270072729554,252
NC,4,253
LNK,257,253
SLC,610176.5846498063,253
MSC,159438.58466182972,253
IIC,0.046265094942500674,253
NC,8,254
LNK,51,254
SLC,357539.02682822815,254
MSC,50000.6046636273,254
IIC,0.03010412428748651,254
NC,8,255
LNK,55,255
SLC,357538.9933853901,255
MSC,50237.72705429947,255
IIC,0.02990169749504928,255
NC,1,256
LNK,405,256
SLC,1606694.9014738873,256
MSC,1606694.9014738873,256
IIC,0.25925709639555733,256
NC,1,257
LNK,424,257
SLC,1589200.6283441945,257
MSC,1589200.6283441945,257
IIC,0.25306235285173634,257
NC,2,258
LNK,9,258
SLC,1913389.396397293,258
MSC,959434.991204323,258
IIC,0.715418125900809,258
NC,1,259
LNK,66,259
SLC,1893678.9293654836,259
MSC,1893678.9293654836,259
IIC,0.4878930994756159,259
NC,1,260
LNK,64,260
SLC,2529858.7963587195,260
MSC,2529858.7963587195,260
IIC,0.6597734176770973,260
NC,2,261
LNK,552,261
SLC,1274043.2835695157,261
MSC,637320.5882011475,261
IIC,0.09571349469278322,261
NC,10,263
LNK,324,263
SLC,522851.0918366848,263
MSC,56164.99981269188,263
IIC,0.0166162385118163,263
NC,5,264
LNK,29,264
SLC,1413682.651657652,264
MSC,290310.63201224274,264
IIC,0.26214182181042434,264
NC,4,265
LNK,223,265
SLC,1343299.79804196,265
MSC,340015.2764329,265
IIC,0.17484154921164613,265
NC,1,268
LNK,107,268
SLC,2483242.574671866,268
MSC,2483242.574671866,268
IIC,0.6218908669856833,268
NC,1,269
LNK,172,269
SLC,2059184.0927319343,269
MSC,2059184.0927319343,269
IIC,0.3944728841502528,269
NC,1,270
LNK,98,270
SLC,2239566.2658481942,270
MSC,2239566.2658481942,270
IIC,0.5029837868668482,270
NC,2,272
LNK,398,272
SLC,1259763.2199255324,272
MSC,650399.1350843627,272
IIC,0.1426395996541194,272
NC,4,274
LNK,119,274
SLC,1211849.5394861172,274
MSC,373393.461851424,274
IIC,0.14902695103342925,274
NC,1,276
LNK,273,276
SLC,1931935.3193484272,276
MSC,1931935.3193484272,276
IIC,0.2994057848617161,276
NC,1,277
LNK,380,277
SLC,1781065.6642470423,277
MSC,1781065.6642470423,277
IIC,0.3135510769145483,277
NC,2,278
LNK,784,278
SLC,1294506.8984760663,278
MSC,647294.0763119921,278
IIC,0.09828747268714659,278
NC,2,279
LNK,298,279
SLC,1453612.5371048043,279
MSC,815956.2547797759,279
IIC,0.2101511405302415,279
NC,2,280
LNK,89,280
SLC,1727201.2091149504,280
MSC,871227.7948285708,280
IIC,0.3597257975111938,280
NC,5,281
LNK,557,281
SLC,1173455.545978118,281
MSC,235687.78872529106,281
IIC,0.06606567727863998,281
NC,1,282
LNK,135,282
SLC,2447607.2084864457,282
MSC,2447607.2084864457,282
IIC,0.6176679029371233,282
NC,2,283
LNK,247,283
SLC,1713594.1639937393,283
MSC,895591.878635011,283
IIC,0.2853190336829336,283
NC,3,287
LNK,129,287
SLC,994674.1602884308,287
MSC,339889.59177009924,287
IIC,0.10361831104542017,287
NC,2,288
LNK,796,288
SLC,1283487.68436775,288
MSC,643251.1801267412,288
IIC,0.10233610479942355,288
NC,1,289
LNK,89,289
SLC,2634414.164451727,289
MSC,2634414.164451727,289
IIC,0.706599524674012,289
NC,2,290
LNK,229,290
SLC,2381402.1140197325,290
MSC,1242601.0299446005,290
IIC,0.57723425768795,290
NC,6,292
LNK,55,292
SLC,1370668.489154125,292
MSC,229447.30685779147,292
IIC,0.20343896235951675,292
NC,3,300
LNK,682,300
SLC,692950.3586675717,300
MSC,231643.42997712933,300
IIC,0.014110817362217136,300
NC,1,301
LNK,215,301
SLC,1935983.8422681715,301
MSC,1935983.8422681715,301
IIC,0.3765094550093689,301
NC,1,303
LNK,129,303
SLC,2249491.5375858922,303
MSC,2249491.5375858922,303
IIC,0.5002524994523825,303
NC,5,304
LNK,182,304
SLC,613212.9207812854,304
MSC,125248.95574156735,304
IIC,0.04883392362474779,304
NC,1,305
LNK,48,305
SLC,2261932.3311777436,305
MSC,2261932.3311777436,305
IIC,0.5541392121385851,305
NC,3,307
LNK,318,307
SLC,1016126.8144556517,307
MSC,340587.9812750739,307
IIC,0.07554931402156048,307
NC,1,308
LNK,363,308
SLC,1995400.2272454628,308
MSC,1995400.2272454628,308
IIC,0.3532298105655138,308
NC,3,309
LNK,65,309
SLC,1337073.3663239914,309
MSC,461400.94202727923,309
IIC,0.20447013741548606,309
NC,2,313
LNK,150,313
SLC,1354108.6862232639,313
MSC,707098.4431909228,313
IIC,0.19067590038665586,313
NC,1,315
LNK,64,315
SLC,2388102.4432379813,315
MSC,2388102.4432379813,315
IIC,0.5780957400491531,315
NC,1,316
LNK,99,316
SLC,2369812.1670786734,316
MSC,2369812.1670786734,316
IIC,0.5515516018033988,316
NC,1,318
LNK,59,318
SLC,2136729.7646548306,318
MSC,2136729.7646548306,318
IIC,0.5182764834517525,318
NC,1,319
LNK,29,319
SLC,2168954.010488227,319
MSC,2168954.010488227,319
IIC,0.5987771849435979,319
NC,1,320
LNK,254,320
SLC,1281047.598621652,320
MSC,1281047.598621652,320
IIC,0.13211378780155936,320
NC,2,321
LNK,648,321
SLC,1680155.0817603557,321
MSC,842665.861939334,321
IIC,0.1774525281270836,321
NC,1,323
LNK,685,323
SLC,1334514.5726497178,323
MSC,1334514.5726497178,323
IIC,0.0864500205180723,323
NC,2,324
LNK,584,324
SLC,1482473.3906949817,324
MSC,741336.37228914106,324
IIC,0.14079679130710465,324
NC,3,326
LNK,415,326
SLC,1349157.3471524022,326
MSC,451975.355755769,326
IIC,0.11818104190934767,326
NC,2,327
LNK,662,327
SLC,1525801.4996793433,327
MSC,763000.4260859701,327
IIC,0.1353176410610953,327
NC,1,329
LNK,93,329
SLC,1988869.8189582198,329
MSC,1988869.8189582198,329
IIC,0.41202036803247405,329
NC,1,330
LNK,222,330
SLC,1863715.2205743915,330
MSC,1863715.2205743915,330
IIC,0.2988265095002549,330
NC,7,331
LNK,106,331
SLC,618603.1409806699,331
MSC,110292.27215183915,331
IIC,0.03179676437431912,331
NC,4,333
LNK,49,333
SLC,1256831.9060083746,333
MSC,317655.2148039693,333
IIC,0.20471904782347244,333
NC,1,334
LNK,237,334
SLC,1915694.8271761513,334
MSC,1915694.8271761513,334
IIC,0.35730682189322027,334
NC,1,335
LNK,238,335
SLC,1931739.7944950531,335
MSC,1931739.7944950531,335
IIC,0.3643289993792582,335
NC,1,336
LNK,169,336
SLC,2252218.4589557806,336
MSC,2252218.4589557806,336
IIC,0.46925222925689836,336
NC,1,337
LNK,26,337
SLC,1985983.712447622,337
MSC,1985983.712447622,337
IIC,0.5090124665604564,337
NC,1,338
LNK,179,338
SLC,1947708.9724207737,338
MSC,1947708.9724207737,338
IIC,0.38334577164968076,338
NC,1,339
LNK,183,339
SLC,1943007.5974691152,339
MSC,1943007.5974691152,339
IIC,0.30287871918080367,339
NC,1,342
LNK,288,342
SLC,1799612.73549964,342
MSC,1799612.73549964,342
IIC,0.28453148154585833,342
NC,1,343
LNK,121,343
SLC,2220672.7710177302,343
MSC,2220672.7710177302,343
IIC,0.4836369520425654,343
NC,1,344
LNK,677,344
SLC,1362563.369173099,344
MSC,1362563.369173099,344
IIC,0.10701141098398727,344
NC,2,345
LNK,44,345
SLC,2106597.1223402196,345
MSC,1056787.2362647222,345
IIC,0.4681477962860351,345
NC,17,346
LNK,763,346
SLC,37666.726640131004,346
MSC,7402.680534954797,346
IIC,1.1002978821629462e-4,346
NC,1,347
LNK,325,347
SLC,2380218.0093717542,347
MSC,2380218.0093717542,347
IIC,0.4133724949148458,347
NC,17,348
LNK,296,348
SLC,28269.977099338364,348
MSC,5348.220477649955,348
IIC,1.480216329515873e-4,348
NC,7,349
LNK,137,349
SLC,235177.4163387909,349
MSC,53752.595321691544,349
IIC,0.010799511023379154,349
NC,2,352
LNK,289,352
SLC,1961702.9851398799,352
MSC,981849.0282467072,352
IIC,0.29663876014652346,352
NC,1,353
LNK,122,353
SLC,2039494.0596687533,353
MSC,2039494.0596687533,353
IIC,0.42101165461059975,353
NC,2,355
LNK,114,355
SLC,1788831.3057384018,355
MSC,894565.1755059313,355
IIC,0.3698874628632491,355
NC,1,356
LNK,73,356
SLC,2012401.5655164863,356
MSC,2012401.5655164863,356
IIC,0.3591933749457906,356
NC,15,357
LNK,303,357
SLC,78363.0258813047,357
MSC,10602.816673340123,357
IIC,3.676067358930842e-4,357
NC,5,359
LNK,250,359
SLC,1207771.2205246512,359
MSC,244370.78802828453,359
IIC,0.16441258873531778,359
NC,16,363
LNK,87,363
SLC,10064.219640050553,363
MSC,1931.1634213137677,363
IIC,3.296851832083278e-5,363
NC,1,364
LNK,143,364
SLC,2203286.237843649,364
MSC,2203286.237843649,364
IIC,0.48756814544760385,364
NC,2,365
LNK,303,365
SLC,1742977.884591626,365
MSC,873805.5956063588,365
IIC,0.22713472149277392,365
NC,4,368
LNK,230,368
SLC,1063666.0361402398,368
MSC,266165.5944822783,368
IIC,0.13976985086664998,368
NC,1,374
LNK,61,374
SLC,2529219.592797622,374
MSC,2529219.592797622,374
IIC,0.6499494024118322,374
NC,3,375
LNK,41,375
SLC,1075851.0397887307,375
MSC,358816.2541964452,375
IIC,0.21277355862861905,375
NC,3,376
LNK,148,376
SLC,1946776.7403005199,376
MSC,649025.2574578614,376
IIC,0.3810530169037727,376
NC,1,378
LNK,228,378
SLC,2159841.0331159737,378
MSC,2159841.0331159737,378
IIC,0.47048308360096314,378
NC,1,379
LNK,455,379
SLC,1666199.8609890952,379
MSC,1666199.8609890952,379
IIC,0.17518430525789955,379
NC,4,385
LNK,472,385
SLC,143099.34226207982,385
MSC,39086.11615850692,385
IIC,0.0016200586239622928,385
NC,1,386
LNK,556,386
SLC,1395580.8078246003,386
MSC,1395580.8078246003,386
IIC,0.16585193152985717,386
NC,1,387
LNK,362,387
SLC,1675696.7172552173,387
MSC,1675696.7172552173,387
IIC,0.25677354492117277,387
NC,1,388
LNK,239,388
SLC,2042196.133432666,388
MSC,2042196.133432666,388
IIC,0.4355576500071626,388
NC,1,389
LNK,160,389
SLC,1616241.7255557696,389
MSC,1616241.7255557696,389
IIC,0.14785457729837387,389
NC,2,390
LNK,299,390
SLC,1654921.6243419894,390
MSC,827801.5843141931,390
IIC,0.2652483957235955,390
NC,2,391
LNK,186,391
SLC,1677798.2465911633,391
MSC,842032.0370709426,391
IIC,0.3679181928761877,391
NC,9,392
LNK,150,392
SLC,114999.49780967797,392
MSC,18386.92753358859,392
IIC,0.0013463083879526761,392
NC,2,393
LNK,166,393
SLC,1970202.4080486712,393
MSC,985151.0401425691,393
IIC,0.4093886780530329,393
NC,2,394
LNK,131,394
SLC,2109922.004522693,394
MSC,1054967.604283484,394
IIC,0.47412470226295883,394
NC,2,395
LNK,134,395
SLC,1998216.6053483917,395
MSC,999270.5015605724,395
IIC,0.3914276220071099,395
